participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P65604,HD,P65604,HD,0,0,1,0,69.20465666335076,70.19854626462131,69.60000228881836,-0.19999998807907104,0,100,100,0,1
P65604,HD,P65604,HD,0,1,2,0,69.20465666335076,68.58873373287423,70.35000228881836,-0.20000001788139343,0,98,198,0,1
P65604,HD,P65604,HD,0,2,3,0,69.20465666335076,69.8268474068886,70.35000228881836,-0.09999999403953552,1,98,296,0,1
P65604,HD,P65604,HD,0,3,4,0,69.20465666335076,70.77774476615019,76.72500228881836,-0.10000002384185791,0,85,381,0,1
P65604,HD,P65604,HD,0,4,5,0,69.20465666335076,73.37768300265402,73.35000228881836,0,0,92,473,0,1
P65604,HD,P65604,HD,0,5,6,0,69.20465666335076,75.03728151166443,75.22500228881836,-0.10000002384185791,0,88,561,0,1
P65604,HD,P65604,HD,0,6,7,0,69.20465666335076,68.90519429208135,73.35000228881836,-0.19999998807907104,0,92,653,0,1
P65604,HD,P65604,HD,0,7,8,0,69.20465666335076,55.305974520225504,72.97500228881836,0,0,93,746,0,1
P65604,HD,P65604,HD,0,8,9,0,69.20465666335076,65.55327555485445,72.97500228881836,-0.20000001788139343,1,93,839,0,1
P65604,HD,P65604,HD,0,9,10,0,69.20465666335076,62.88825539352807,72.97500228881836,-0.09999999403953552,1,93,932,0,1
P65604,HD,P65604,HD,0,0,1,0,39.373611845076084,38.336091877454564,36.97500228881836,0,0,96,1028,0,2
P65604,HD,P65604,HD,0,1,2,0,39.373611845076084,42.656371637623614,42.60000228881836,0,0,94,1122,0,2
P65604,HD,P65604,HD,0,2,3,0,39.373611845076084,46.61020660764976,47.10000228881836,-0.10000002384185791,0,85,1207,0,2
P65604,HD,P65604,HD,0,3,4,0,39.373611845076084,35.21745680592403,36.60000228881836,-0.09999999403953552,0,95,1302,0,2
P65604,HD,P65604,HD,0,4,5,0,39.373611845076084,33.64711565895533,34.35000228881836,-0.09999999403953552,0,90,1392,0,2
P65604,HD,P65604,HD,0,5,6,0,39.373611845076084,49.81029685134763,51.60000228881835,-0.09999999403953552,0,76,1468,0,2
P65604,HD,P65604,HD,0,6,7,0,39.373611845076084,44.50514094377139,45.97500228881836,-0.19999998807907104,0,87,1555,0,2
P65604,HD,P65604,HD,0,7,8,0,39.373611845076084,26.064021082070276,35.10000228881836,0,0,92,1647,0,2
P65604,HD,P65604,HD,0,8,9,0,39.373611845076084,41.665163104670626,42.60000228881836,0,0,94,1741,0,2
P65604,HD,P65604,HD,0,9,10,0,39.373611845076084,30.344651520773777,38.10000228881836,-0.09999999403953552,0,98,1839,0,2
P65604,HD,P65604,HD,0,0,1,0,223.44312372151762,229.44647470059715,222.60000228881836,-0.10000002384185791,0,99,1938,0,3
P65604,HD,P65604,HD,0,1,2,0,223.44312372151762,224.53600478831277,224.10000228881836,-0.20000001788139343,0,99,2037,0,3
P65604,HD,P65604,HD,0,2,3,0,223.44312372151762,221.86729891590147,221.10000228881836,-0.09999999403953552,0,96,2133,0,3
P65604,HD,P65604,HD,0,3,4,0,223.44312372151762,219.17265240226425,222.60000228881836,-0.09999999403953552,0,99,2232,0,3
P65604,HD,P65604,HD,0,4,5,0,223.44312372151762,224.46743109650097,226.35000228881836,-0.09999999403953552,0,95,2327,0,3
P65604,HD,P65604,HD,0,5,6,0,223.44312372151762,222.29041287034192,222.60000228881836,-0.09999999403953552,0,99,2426,0,3
P65604,HD,P65604,HD,0,6,7,0,223.44312372151762,228.88127448591962,227.10000228881836,-0.09999999403953552,0,93,2519,0,3
P65604,HD,P65604,HD,0,7,8,0,223.44312372151762,214.6209256607443,222.2250022888184,-0.10000002384185791,0,98,2617,0,3
P65604,HD,P65604,HD,0,8,9,0,223.44312372151762,225.20520989495068,227.10000228881836,-0.10000002384185791,0,93,2710,0,3
P65604,HD,P65604,HD,0,9,0,1,62.80519095827379,71.47204525439429,66.22500228881836,-0.10000002384185791,0,94,2804,0,3
P65604,HD,P65604,HD,0,10,1,0,62.80519095827379,71.0417155886223,68.47500228881836,0,0,89,2893,0,3
P65604,HD,P65604,HD,0,11,2,0,62.80519095827379,63.248914646243044,63.97500228881836,-0.19999998807907104,0,98,2991,0,3
P65604,HD,P65604,HD,0,12,3,0,62.80519095827379,57.692168127931836,61.35000228881836,-0.09999999403953552,0,98,3089,0,3
P65604,HD,P65604,HD,0,13,4,0,62.80519095827379,72.33608431048175,68.85000228881836,-0.09999999403953552,0,88,3177,0,3
P65604,HD,P65604,HD,0,14,5,0,62.80519095827379,64.96622158714366,66.22500228881836,-0.09999999403953552,0,94,3271,0,3
P65604,HD,P65604,HD,0,0,1,0,175.14517628587782,178.8965760192821,177.22500228881836,0,0,96,3367,0,4
P65604,HD,P65604,HD,0,1,2,0,175.14517628587782,173.05101161726938,171.97500228881836,0,0,94,3461,0,4
P65604,HD,P65604,HD,0,2,3,0,175.14517628587782,172.19019299200608,173.10000228881836,-0.09999999403953552,0,96,3557,0,4
P65604,HD,P65604,HD,0,3,4,0,175.14517628587782,174.84997807573217,174.22500228881836,-0.10000002384185791,0,99,3656,0,4
P65604,HD,P65604,HD,0,4,5,0,175.14517628587782,171.43570688794637,175.3500022888184,0,0,100,3756,0,4
P65604,HD,P65604,HD,0,5,6,0,175.14517628587782,175.07712128023357,175.3500022888184,0,1,100,3856,0,4
P65604,HD,P65604,HD,0,6,7,0,175.14517628587782,173.63259435002323,175.3500022888184,0,1,100,3956,0,4
P65604,HD,P65604,HD,0,7,8,0,175.14517628587782,175.9349570461109,177.22500228881836,-0.19999998807907104,0,96,4052,0,4
P65604,HD,P65604,HD,0,8,9,0,175.14517628587782,181.42523557770542,177.22500228881836,0,1,96,4148,0,4
P65604,HD,P65604,HD,0,9,0,1,189.19430824337826,188.69916865503868,177.22500228881836,0,1,77,4225,0,4
P65604,HD,P65604,HD,0,10,1,0,189.19430824337826,186.16571934301726,187.35000228881836,0,0,97,4322,0,4
P65604,HD,P65604,HD,0,11,2,0,189.19430824337826,184.9511358736329,191.10000228881836,-0.09999999403953552,0,97,4419,0,4
P65604,HD,P65604,HD,0,12,3,0,189.19430824337826,190.45149865580132,190.72500228881836,-0.19999998807907104,0,97,4516,0,4
P65604,HD,P65604,HD,0,13,4,0,189.19430824337826,196.94028808341315,191.10000228881836,0,0,97,4613,0,4
P65604,HD,P65604,HD,0,14,5,0,189.19430824337826,190.92721220454962,191.10000228881836,0,1,97,4710,0,4
P65604,HD,P65604,HD,0,0,1,0,136.44944087136537,141.0648444250271,135.60000228881836,-0.09999999403953552,0,99,4809,0,5
P65604,HD,P65604,HD,0,1,2,0,136.44944087136537,146.15483796637545,138.60000228881836,0,0,96,4905,0,5
P65604,HD,P65604,HD,0,2,3,0,136.44944087136537,126.08351357650295,137.10000228881836,-0.10000002384185791,0,99,5004,0,5
P65604,HD,P65604,HD,0,3,4,0,136.44944087136537,131.4538896424997,140.10000228881836,-0.20000001788139343,0,93,5097,0,5
P65604,HD,P65604,HD,0,4,5,0,136.44944087136537,149.50679448164922,140.85000228881836,0,0,92,5189,0,5
P65604,HD,P65604,HD,0,5,6,0,136.44944087136537,136.94426843719722,144.22500228881836,-0.09999999403953552,0,85,5274,0,5
P65604,HD,P65604,HD,0,6,7,0,136.44944087136537,135.19934219064922,136.35000228881836,-0.09999999403953552,0,100,5374,0,5
P65604,HD,P65604,HD,0,7,8,0,136.44944087136537,137.15058155377974,136.35000228881836,-0.10000002384185791,1,100,5474,0,5
P65604,HD,P65604,HD,0,8,9,0,136.44944087136537,136.1355474404883,143.10000228881836,-0.09999999403953552,0,87,5561,0,5
P65604,HD,P65604,HD,0,9,10,0,136.44944087136537,127.36142350338804,146.85000228881836,0,0,80,5641,0,5
P65604,HD,P65604,HD,0,10,11,0,136.44944087136537,149.02499216240713,165.60000228881836,0,0,42,5683,0,5
P65604,HD,P65604,HD,0,11,0,1,58.97832611529264,76.65601469512706,66.97500228881836,-0.19999998807907104,0,85,5768,0,5
P65604,HD,P65604,HD,0,12,1,0,58.97832611529264,44.48282799844704,66.97500228881836,-0.09999999403953552,1,85,5853,0,5
P65604,HD,P65604,HD,0,13,2,0,58.97832611529264,55.248251286404695,76.35000228881836,-0.09999999403953552,0,66,5919,0,5
P65604,HD,P65604,HD,0,14,3,0,58.97832611529264,59.28017994280888,76.35000228881836,-0.09999999403953552,1,66,5985,0,5
P65604,HD,P65604,HD,0,15,4,0,58.97832611529264,51.43224549587525,76.35000228881836,-0.09999999403953552,1,66,6051,0,5
P65604,HD,P65604,HD,0,16,5,0,58.97832611529264,56.80382191088422,101.85000228881836,-0.20000001788139343,0,15,6066,0,5
P65604,HD,P65604,HD,0,17,6,0,58.97832611529264,67.05462689713947,101.85000228881836,-0.09999999403953552,1,15,6081,0,5
P65604,HD,P65604,HD,0,18,7,0,58.97832611529264,60.43448473103447,101.47500228881837,-0.09999999403953552,0,16,6097,0,5
