participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P89618,HD,P89618,HD,0,0,1,0,69.20465666335076,70.19854626462131,70.125,-0.30000001192092896,0,99,99,0,1
P89618,HD,P89618,HD,0,1,2,0,69.20465666335076,68.58873373287423,68.625,-0.20000001788139343,0,99,198,0,1
P89618,HD,P89618,HD,0,2,3,0,69.20465666335076,69.8268474068886,70.5,-0.19999998807907104,0,98,296,0,1
P89618,HD,P89618,HD,0,3,4,0,69.20465666335076,70.77774476615019,69.375,-0.19999998807907104,0,100,396,0,1
P89618,HD,P89618,HD,0,4,5,0,69.20465666335076,73.37768300265402,72.75,-0.09999999403953552,0,93,489,0,1
P89618,HD,P89618,HD,0,5,6,0,69.20465666335076,75.03728151166443,75.75,-0.10000002384185791,0,87,576,0,1
P89618,HD,P89618,HD,0,6,7,0,69.20465666335076,68.90519429208135,69.375,-0.09999999403953552,0,100,676,0,1
P89618,HD,P89618,HD,0,7,8,0,69.20465666335076,55.305974520225504,54.75,-0.20000001788139343,0,72,748,0,1
P89618,HD,P89618,HD,0,8,9,0,69.20465666335076,65.55327555485445,65.25,-0.19999998807907104,0,93,841,0,1
P89618,HD,P89618,HD,0,9,10,0,69.20465666335076,62.88825539352807,62.25,-0.30000001192092896,0,87,928,0,1
P89618,HD,P89618,HD,0,0,1,0,39.373611845076084,38.336091877454564,38.625,-0.19999998807907104,0,99,1027,0,2
P89618,HD,P89618,HD,0,1,2,0,39.373611845076084,42.656371637623614,42.74999999999999,-0.09999999403953552,0,94,1121,0,2
P89618,HD,P89618,HD,0,2,3,0,39.373611845076084,46.61020660764976,39,-0.09999999403953552,0,100,1221,0,2
P89618,HD,P89618,HD,0,3,4,0,39.373611845076084,35.21745680592403,39.375,-0.20000001788139343,0,100,1321,0,2
P89618,HD,P89618,HD,0,4,5,0,39.373611845076084,33.64711565895533,39.375,-0.09999999403953552,1,100,1421,0,2
P89618,HD,P89618,HD,0,5,6,0,39.373611845076084,49.81029685134763,40.125,-0.19999998807907104,0,99,1520,0,2
P89618,HD,P89618,HD,0,6,7,0,39.373611845076084,44.50514094377139,39.375,0,0,100,1620,0,2
P89618,HD,P89618,HD,0,7,8,0,39.373611845076084,26.064021082070276,40.5,-0.09999999403953552,0,98,1718,0,2
P89618,HD,P89618,HD,0,8,9,0,39.373611845076084,41.665163104670626,38.25,-0.20000001788139343,0,98,1816,0,2
P89618,HD,P89618,HD,0,9,10,0,39.373611845076084,30.344651520773777,36.75,-0.19999998807907104,0,95,1911,0,2
P89618,HD,P89618,HD,0,0,1,0,223.44312372151762,229.44647470059715,223.875,-0.10000002384185791,0,100,2011,0,3
P89618,HD,P89618,HD,0,1,2,0,223.44312372151762,224.53600478831277,223.875,-0.20000001788139343,1,100,2111,0,3
P89618,HD,P89618,HD,0,2,3,0,223.44312372151762,221.86729891590147,222.75000000000003,-0.20000001788139343,0,99,2210,0,3
P89618,HD,P89618,HD,0,3,4,0,223.44312372151762,219.17265240226425,222.375,-0.09999999403953552,0,98,2308,0,3
P89618,HD,P89618,HD,0,4,5,0,223.44312372151762,224.46743109650097,223.5,0,0,100,2408,0,3
P89618,HD,P89618,HD,0,5,6,0,223.44312372151762,222.29041287034192,223.875,0,0,100,2508,0,3
P89618,HD,P89618,HD,0,6,7,0,223.44312372151762,228.88127448591962,226.5,-0.09999999403953552,0,94,2602,0,3
P89618,HD,P89618,HD,0,7,8,0,223.44312372151762,214.6209256607443,221.25,-0.19999998807907104,0,96,2698,0,3
P89618,HD,P89618,HD,0,8,9,0,223.44312372151762,225.20520989495068,223.875,0,0,100,2798,0,3
P89618,HD,P89618,HD,0,9,0,1,62.80519095827379,71.47204525439429,61.49999999999999,0,0,98,2896,0,3
P89618,HD,P89618,HD,0,10,1,0,62.80519095827379,71.0417155886223,63.375,0,0,99,2995,0,3
P89618,HD,P89618,HD,0,11,2,0,62.80519095827379,63.248914646243044,63.375,-0.19999998807907104,1,99,3094,0,3
P89618,HD,P89618,HD,0,12,3,0,62.80519095827379,57.692168127931836,60.37500000000001,0,0,96,3190,0,3
P89618,HD,P89618,HD,0,13,4,0,62.80519095827379,72.33608431048175,64.5,-0.19999998807907104,0,97,3287,0,3
P89618,HD,P89618,HD,0,14,5,0,62.80519095827379,64.96622158714366,63.375,0,0,99,3386,0,3
P89618,HD,P89618,HD,0,0,1,0,175.14517628587782,178.8965760192821,174.75,0,0,100,3486,0,4
P89618,HD,P89618,HD,0,1,2,0,175.14517628587782,173.05101161726938,173.625,-0.20000001788139343,0,97,3583,0,4
P89618,HD,P89618,HD,0,2,3,0,175.14517628587782,172.19019299200608,173.25,0,0,97,3680,0,4
P89618,HD,P89618,HD,0,3,4,0,175.14517628587782,174.84997807573217,176.25,0,0,98,3778,0,4
P89618,HD,P89618,HD,0,4,5,0,175.14517628587782,171.43570688794637,174.375,-0.19999998807907104,0,99,3877,0,4
P89618,HD,P89618,HD,0,5,6,0,175.14517628587782,175.07712128023357,175.5,-0.09999999403953552,0,100,3977,0,4
P89618,HD,P89618,HD,0,6,7,0,175.14517628587782,173.63259435002323,174,-0.09999999403953552,0,98,4075,0,4
P89618,HD,P89618,HD,0,7,8,0,175.14517628587782,175.9349570461109,176.25,0,0,98,4173,0,4
P89618,HD,P89618,HD,0,8,9,0,175.14517628587782,181.42523557770542,176.625,-0.09999999403953552,0,98,4271,0,4
P89618,HD,P89618,HD,0,9,0,1,189.19430824337826,188.69916865503868,187.875,-0.10000002384185791,0,98,4369,0,4
P89618,HD,P89618,HD,0,10,1,0,189.19430824337826,186.16571934301726,189,0,0,100,4469,0,4
P89618,HD,P89618,HD,0,11,2,0,189.19430824337826,184.9511358736329,187.875,-0.09999999403953552,0,98,4567,0,4
P89618,HD,P89618,HD,0,12,3,0,189.19430824337826,190.45149865580132,190.125,0,0,99,4666,0,4
