participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P54381,HD,P54381,HD,0,0,1,0,69.20465666335076,70.19854626462131,70.5,-0.30000001192092896,0,98,98,0,1
P54381,HD,P54381,HD,0,1,2,0,69.20465666335076,68.58873373287423,68.625,-0.20000001788139343,0,99,197,0,1
P54381,HD,P54381,HD,0,2,3,0,69.20465666335076,69.8268474068886,69.75,-0.09999999403953552,0,99,296,0,1
P54381,HD,P54381,HD,0,3,4,0,69.20465666335076,70.77774476615019,71.25,-0.09999999403953552,0,96,392,0,1
P54381,HD,P54381,HD,0,4,5,0,69.20465666335076,73.37768300265402,73.125,-0.19999998807907104,0,93,485,0,1
P54381,HD,P54381,HD,0,5,6,0,69.20465666335076,75.03728151166443,74.625,-0.19999998807907104,0,90,575,0,1
P54381,HD,P54381,HD,0,6,7,0,69.20465666335076,68.90519429208135,69,0,0,100,675,0,1
P54381,HD,P54381,HD,0,7,8,0,69.20465666335076,55.305974520225504,55.5,-0.09999999403953552,0,73,748,0,1
P54381,HD,P54381,HD,0,8,9,0,69.20465666335076,65.55327555485445,65.625,-0.20000001788139343,0,93,841,0,1
P54381,HD,P54381,HD,0,9,10,0,69.20465666335076,62.88825539352807,63,-0.19999998807907104,0,88,929,0,1
P54381,HD,P54381,HD,0,0,1,0,39.373611845076084,38.336091877454564,38.625,-0.09999999403953552,0,99,1028,0,2
P54381,HD,P54381,HD,0,1,2,0,39.373611845076084,42.656371637623614,40.5,-0.09999999403953552,0,98,1126,0,2
P54381,HD,P54381,HD,0,2,3,0,39.373611845076084,46.61020660764976,40.125,-0.20000001788139343,0,99,1225,0,2
P54381,HD,P54381,HD,0,3,4,0,39.373611845076084,35.21745680592403,39.375,-0.09999999403953552,0,100,1325,0,2
P54381,HD,P54381,HD,0,4,5,0,39.373611845076084,33.64711565895533,39.75,-0.19999998807907104,0,100,1425,0,2
P54381,HD,P54381,HD,0,5,6,0,39.373611845076084,49.81029685134763,40.125,-0.10000002384185791,0,99,1524,0,2
P54381,HD,P54381,HD,0,6,7,0,39.373611845076084,44.50514094377139,39.375,-0.20000001788139343,0,100,1624,0,2
P54381,HD,P54381,HD,0,7,8,0,39.373611845076084,26.064021082070276,39.75,-0.09999999403953552,0,100,1724,0,2
P54381,HD,P54381,HD,0,8,9,0,39.373611845076084,41.665163104670626,39.75,-0.19999998807907104,1,100,1824,0,2
P54381,HD,P54381,HD,0,9,10,0,39.373611845076084,30.344651520773777,39.375,0,0,100,1924,0,2
P54381,HD,P54381,HD,0,0,1,0,223.44312372151762,229.44647470059715,223.125,-0.09999999403953552,0,100,2024,0,3
P54381,HD,P54381,HD,0,1,2,0,223.44312372151762,224.53600478831277,223.875,-0.19999998807907104,0,100,2124,0,3
P54381,HD,P54381,HD,0,2,3,0,223.44312372151762,221.86729891590147,223.125,-0.10000002384185791,0,100,2224,0,3
P54381,HD,P54381,HD,0,3,4,0,223.44312372151762,219.17265240226425,223.5,-0.09999999403953552,0,100,2324,0,3
P54381,HD,P54381,HD,0,4,5,0,223.44312372151762,224.46743109650097,224.25000000000003,-0.09999999403953552,0,99,2423,0,3
P54381,HD,P54381,HD,0,5,6,0,223.44312372151762,222.29041287034192,223.5,-0.09999999403953552,0,100,2523,0,3
P54381,HD,P54381,HD,0,6,7,0,223.44312372151762,228.88127448591962,223.875,-0.20000001788139343,0,100,2623,0,3
P54381,HD,P54381,HD,0,7,8,0,223.44312372151762,214.6209256607443,223.125,-0.19999998807907104,0,100,2723,0,3
