participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P43946,HI,P43946,HI,0,0,0,1,145.88259,148.7923368,141,-0.299999982,0,91,91,0,1
P43946,HI,P43946,HI,0,1,1,0,145.88259,135.3678067,84.375,-0.099999994,0,0,91,0,1
P43946,HI,P43946,HI,0,2,2,0,145.88259,146.8741465,157.5,-0.299999982,0,77,168,0,1
P43946,HI,P43946,HI,0,3,3,0,145.88259,152.720536,97.875,-0.299999982,0,4,172,0,1
P43946,HI,P43946,HI,0,4,0,1,165.6526277,153.3294781,100.125,-0.199999988,0,0,172,0,1
P43946,HI,P43946,HI,0,5,1,0,165.6526277,164.8420868,100.125,-0.099999994,1,0,172,0,1
P43946,HI,P43946,HI,0,6,2,0,165.6526277,179.962024,100.125,0,1,0,172,0,1
P43946,HI,P43946,HI,0,7,3,0,165.6526277,179.5053783,100.125,0,1,0,172,0,1
P43946,HI,P43946,HI,0,8,4,0,165.6526277,169.2502027,100.125,-0.199999988,1,0,172,0,1
P43946,HI,P43946,HI,0,9,5,0,165.6526277,165.6511203,109.875,-0.200000018,0,0,172,0,1
P43946,HI,P43946,HI,0,10,6,0,165.6526277,164.0548538,109.875,-0.199999988,1,0,172,0,1
P43946,HI,P43946,HI,0,11,7,0,165.6526277,156.7990595,109.875,-0.099999994,1,0,172,0,1
P43946,HI,P43946,HI,0,12,0,1,166.4402842,148.8186234,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,13,1,0,166.4402842,161.7158335,109.875,-0.099999994,1,0,172,0,1
P43946,HI,P43946,HI,0,14,2,0,166.4402842,180.946782,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,15,0,1,166.9901482,163.0185053,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,16,1,0,166.9901482,167.9497224,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,17,2,0,166.9901482,170.4242756,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,18,3,0,166.9901482,158.3479445,109.875,-0.099999994,1,0,172,0,1
P43946,HI,P43946,HI,0,19,4,0,166.9901482,173.3496987,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,20,5,0,166.9901482,172.1760942,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,21,6,0,166.9901482,171.8283953,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,22,7,0,166.9901482,173.1748567,109.875,0,1,0,172,0,1
P43946,HI,P43946,HI,0,23,8,0,166.9901482,159.8265277,109.875,-0.100000024,1,0,172,0,1
