participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P33828,HI,P33828,HI,0,0,1,0,276.08599711675197,279.50187417512404,276.375,-0.10000002384185791,0,100,3450,0,4
P33828,HI,P33828,HI,0,1,2,0,276.08599711675197,270.4780756531649,275.25,-0.10000002384185791,0,99,3549,0,4
P33828,HI,P33828,HI,0,2,3,0,276.08599711675197,277.26570320170043,275.625,-0.10000002384185791,0,100,3649,0,4
P33828,HI,P33828,HI,0,3,4,0,276.08599711675197,276.9079359961995,275.625,-0.09999999403953552,1,100,3749,0,4
P33828,HI,P33828,HI,0,4,5,0,276.08599711675197,270.3766358986174,276,-0.09999999403953552,0,100,3849,0,4
P33828,HI,P33828,HI,0,5,6,0,276.08599711675197,279.4530644878726,279.375,-0.10000002384185791,0,94,3943,0,4
P33828,HI,P33828,HI,0,6,7,0,276.08599711675197,274.7650585465772,275.25,-0.19999998807907104,0,99,4042,0,4
P33828,HI,P33828,HI,0,7,8,0,276.08599711675197,273.59712308332195,275.25,-0.09999999403953552,1,99,4141,0,4
P33828,HI,P33828,HI,0,8,9,0,276.08599711675197,274.9402303092568,275.25,-0.10000002384185791,1,99,4240,0,4
P33828,HI,P33828,HI,0,9,10,0,276.08599711675197,278.5734915451925,279.75,-0.20000001788139343,0,93,4333,0,4
P33828,HI,P33828,HI,0,10,0,1,277.2166835920722,282.82096185683486,282,-0.09999999403953552,0,91,4424,0,4
P33828,HI,P33828,HI,0,11,1,0,277.2166835920722,273.620612962827,276.75,-0.20000001788139343,0,100,4524,0,4
P33828,HI,P33828,HI,0,12,2,0,277.2166835920722,281.23055005168806,278.25,-0.09999999403953552,0,98,4622,0,4
P33828,HI,P33828,HI,0,13,3,0,277.2166835920722,268.07661433406275,276.375,-0.10000002384185791,0,99,4721,0,4
P33828,HI,P33828,HI,0,14,4,0,277.2166835920722,269.31087781884213,276.375,-0.19999998807907104,1,99,4820,0,4
P33828,HI,P33828,HI,0,0,1,0,105.57009475305676,105.794044874587,105.75,-0.10000002384185791,0,100,4920,0,5
P33828,HI,P33828,HI,0,1,2,0,105.57009475305676,122.20665246554599,105.375,-0.20000001788139343,0,100,5020,0,5
P33828,HI,P33828,HI,0,2,3,0,105.57009475305676,102.05311919772427,108,-0.09999999403953552,0,96,5116,0,5
P33828,HI,P33828,HI,0,3,4,0,105.57009475305676,116.76444299811476,107.625,0,0,96,5212,0,5
P33828,HI,P33828,HI,0,4,5,0,105.57009475305676,110.73066375673154,109.5,-0.10000002384185791,0,93,5305,0,5
P33828,HI,P33828,HI,0,5,6,0,105.57009475305676,103.89434772063973,103.125,-0.09999999403953552,0,96,5401,0,5
P33828,HI,P33828,HI,0,6,7,0,105.57009475305676,121.31892943339632,105.375,-0.09999999403953552,0,100,5501,0,5
P33828,HI,P33828,HI,0,7,8,0,105.57009475305676,108.97967874815663,107.25,-0.10000002384185791,0,97,5598,0,5
P33828,HI,P33828,HI,0,8,9,0,105.57009475305676,105.15313520874611,108,-0.09999999403953552,0,96,5694,0,5
P33828,HI,P33828,HI,0,9,10,0,105.57009475305676,102.8577486087944,102.75000000000001,-0.10000002384185791,0,95,5789,0,5
P33828,HI,P33828,HI,0,10,11,0,105.57009475305676,118.83424498197579,109.125,-0.19999998807907104,0,93,5882,0,5
P33828,HI,P33828,HI,0,11,12,0,105.57009475305676,95.18640461107137,108.75,-0.10000002384185791,0,94,5976,0,5
P33828,HI,P33828,HI,0,12,13,0,105.57009475305676,109.31922971782392,106.5,-0.09999999403953552,0,99,6075,0,5
