participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P22549,HI,P22549,HI,0,0,0,1,0.09123906524232694,0.008857502279916218,296.10000228881836,-0.19999998807907104,0,0,0,0,1
P22549,HI,P22549,HI,0,1,1,0,0.09123906524232694,2.115702735661806,292.72500228881836,0,0,0,0,0,1
P22549,HI,P22549,HI,0,2,2,0,0.09123906524232694,0,6.600002288818359,0,0,87,87,0,1
P22549,HI,P22549,HI,0,3,3,0,0.09123906524232694,14.861276740108664,16.35000228881836,-0.09999999403953552,0,68,155,0,1
P22549,HI,P22549,HI,0,4,0,1,13.710031661884534,11.735021005116517,10.72500228881836,-0.19999998807907104,0,95,250,0,1
P22549,HI,P22549,HI,0,5,1,0,13.710031661884534,31.461180086127207,30.60000228881836,0,0,67,317,0,1
P22549,HI,P22549,HI,0,6,2,0,13.710031661884534,12.103412626420285,11.10000228881836,-0.09999999403953552,0,95,412,0,1
P22549,HI,P22549,HI,0,7,3,0,13.710031661884534,8.870112760884343,8.10000228881836,-0.09999999403953552,0,89,501,0,1
P22549,HI,P22549,HI,0,8,4,0,13.710031661884534,17.59342497480138,16.35000228881836,-0.19999998807907104,0,95,596,0,1
P22549,HI,P22549,HI,0,9,5,0,13.710031661884534,2.1370946587860065,2.4750022888183594,-0.20000001788139343,0,78,674,0,1
P22549,HI,P22549,HI,0,0,1,0,255.80578402150422,238.18412322496667,254.10000228881836,-0.09999999403953552,0,97,771,0,2
P22549,HI,P22549,HI,0,1,2,0,255.80578402150422,251.08133333118445,256.72500228881836,-0.09999999403953552,0,99,870,0,2
P22549,HI,P22549,HI,0,2,3,0,255.80578402150422,270.31228191941085,257.10000228881836,-0.20000001788139343,0,98,968,0,2
P22549,HI,P22549,HI,0,3,0,1,268.80417692464226,269.7637511384901,269.85000228881836,-0.09999999403953552,0,98,1066,0,2
P22549,HI,P22549,HI,0,4,1,0,268.80417692464226,272.2383043480072,270.60000228881836,-0.09999999403953552,0,97,1163,0,2
P22549,HI,P22549,HI,0,5,2,0,268.80417692464226,260.16197323569105,269.10000228881836,-0.19999998807907104,0,100,1263,0,2
